County,Agency,Year,Months Reported,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region
Westchester,Westchester County MTA,2021,12,48,6,0,0,4,2,42,3,39,0,Non-New York City
Westchester,Westchester County Park PD,2021,12,5,0,0,0,0,0,5,0,5,0,Non-New York City
Westchester,Westchester County State Police,2021,12,493,137,0,16,1,120,356,25,306,25,Non-New York City
Westchester,White Plains City PD,2021,12,785,76,2,6,18,50,709,62,617,30,Non-New York City
Westchester,Yonkers City PD,2021,12,2353,588,9,32,150,397,1765,229,1335,201,Non-New York City
Westchester,Yorktown Town PD,2021,12,240,4,0,2,0,2,236,12,215,9,Non-New York City
Wyoming,Arcade Vg PD,2021,12,13,3,0,2,0,1,10,2,8,0,Non-New York City
Wyoming,Attica Vg PD,2021,12,8,3,0,0,1,2,5,3,2,0,Non-New York City
Wyoming,County Total,2021,,261,52,0,25,2,25,209,40,159,10,Non-New York City
Wyoming,Perry Vg PD,2021,12,49,11,0,9,0,2,38,6,32,0,Non-New York City
Wyoming,Warsaw Vg PD,2021,12,16,1,0,0,1,0,15,0,14,1,Non-New York City
Wyoming,Wyoming County Park PD,2021,12,2,0,0,0,0,0,2,0,2,0,Non-New York City
Wyoming,Wyoming County Sheriff,2021,12,123,18,0,6,0,12,105,23,75,7,Non-New York City
Wyoming,Wyoming County State Police,2021,12,50,16,0,8,0,8,34,6,26,2,Non-New York City
Yates,County Total,2021,,182,34,0,21,0,13,148,14,127,7,Non-New York City
Yates,Penn Yan Vg PD,2021,12,75,12,0,11,0,1,63,4,58,1,Non-New York City
Yates,Yates County Sheriff,2021,12,95,19,0,7,0,12,76,10,62,4,Non-New York City
Yates,Yates County State Police,2021,12,12,3,0,3,0,0,9,0,7,2,Non-New York City
Albany,Albany City PD,2020,12,3571,881,18,61,166,636,2690,444,1952,294,Non-New York City
Albany,Albany County Park PD,2020,12,2,0,0,0,0,0,2,0,2,0,Non-New York City
Albany,Albany County Sheriff,2020,12,131,13,0,4,0,9,118,11,99,8,Non-New York City
Albany,Albany County State Police,2020,12,103,26,0,18,2,6,77,4,71,2,Non-New York City
Albany,Altamont Vg PD,2020,12,6,2,0,0,0,2,4,0,4,0,Non-New York City
Albany,Bethlehem Town PD,2020,12,407,25,1,7,3,14,382,25,348,9,Non-New York City
Albany,Coeymans Town PD,2020,12,49,8,0,0,1,7,41,6,27,8,Non-New York City
Albany,Cohoes City PD,2020,12,138,26,0,3,4,19,112,28,73,11,Non-New York City
Albany,Colonie Town PD,2020,12,1936,83,0,4,28,51,1853,111,1677,65,Non-New York City
Albany,County Total,2020,,7450,1127,19,109,215,784,6323,723,5169,431,Non-New York City
Albany,Guilderland Town PD,2020,12,707,25,0,7,2,16,682,54,621,7,Non-New York City
Albany,Menands Vg PD,2020,12,131,3,0,0,1,2,128,8,111,9,Non-New York City
Albany,SUNY Police - Albany,2020,12,62,0,0,0,0,0,62,11,51,0,Non-New York City
Albany,SUNY Police - Nanoscale Science and Engineering,2020,9,1,0,0,0,0,0,1,0,1,0,Non-New York City
Albany,Watervliet City PD,2020,12,206,35,0,5,8,22,171,21,132,18,Non-New York City
Allegany,Alfred Vg PD,2020,12,18,1,0,1,0,0,17,4,13,0,Non-New York City
Allegany,Allegany County Sheriff,2020,12,1,0,0,0,0,0,1,1,0,0,Non-New York City
Allegany,Allegany County State Police,2020,12,269,56,2,32,3,19,213,68,129,16,Non-New York City
Allegany,Belmont Vg PD,2020,12,2,0,0,0,0,0,2,0,2,0,Non-New York City
Allegany,Bolivar Vg PD,2020,12,15,2,0,0,0,2,13,1,11,1,Non-New York City
Allegany,County Total,2020,,402,73,3,38,3,29,329,86,215,28,Non-New York City
Allegany,Cuba Town PD,2020,12,33,2,1,0,0,1,31,6,22,3,Non-New York City
Allegany,Friendship Town PD,2020,12,4,0,0,0,0,0,4,1,2,1,Non-New York City
Allegany,Independence Town PD,2020,12,3,0,0,0,0,0,3,1,2,0,Non-New York City
Allegany,SUNY Police - Alfred,2020,12,17,3,0,2,0,1,14,1,11,2,Non-New York City
Allegany,Wellsville Vg PD,2020,12,40,9,0,3,0,6,31,3,23,5,Non-New York City
Bronx,County Total,2020,12,36217,13129,111,523,3519,8976,23088,2230,18728,2130,New York City
Broome,Binghamton City PD,2020,12,2217,396,1,40,51,304,1821,325,1392,104,Non-New York City
Broome,Broome County Park PD,2020,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Broome,Broome County Sheriff,2020,12,518,45,1,26,5,13,473,72,368,33,Non-New York City
Broome,Broome County State Police,2020,12,458,74,1,32,1,40,384,72,288,24,Non-New York City
Broome,County Total,2020,,5180,660,5,126,78,451,4520,669,3634,217,Non-New York City
Broome,Endicott Vg PD,2020,12,459,58,0,13,8,37,401,69,315,17,Non-New York City
Broome,Johnson City Vg PD,2020,12,956,71,1,10,13,47,885,86,774,25,Non-New York City
Broome,SUNY Police - Binghamton,2020,12,87,0,0,0,0,0,87,5,82,0,Non-New York City
Broome,Vestal Town PD,2020,12,484,16,1,5,0,10,468,40,414,14,Non-New York City
Cattaraugus,Allegany Vg PD,2020,12,8,1,0,1,0,0,7,2,5,0,Non-New York City
Cattaraugus,Cattaraugus County Park PD,2020,12,20,0,0,0,0,0,20,0,19,1,Non-New York City
Cattaraugus,Cattaraugus County Sheriff,2020,12,254,41,0,14,0,27,213,46,146,21,Non-New York City
Cattaraugus,Cattaraugus County State Police,2020,12,238,39,0,18,1,20,199,48,135,16,Non-New York City
Cattaraugus,Cattaraugus Vg PD,2020,12,2,0,0,0,0,0,2,1,1,0,Non-New York City
Cattaraugus,County Total,2020,,875,126,1,38,6,81,749,137,556,56,Non-New York City
Cattaraugus,Ellicottville Town PD,2020,12,20,0,0,0,0,0,20,1,19,0,Non-New York City
Cattaraugus,Franklinville Vg PD,2020,12,3,0,0,0,0,0,3,2,1,0,Non-New York City
Cattaraugus,Olean City PD,2020,12,267,25,0,1,1,23,242,25,204,13,Non-New York City
Cattaraugus,Salamanca City PD,2020,12,63,20,1,4,4,11,43,12,26,5,Non-New York City
Cayuga,Auburn City PD,2020,12,883,132,1,33,15,83,751,81,630,40,Non-New York City
Cayuga,Cayuga County Park PD,2020,12,5,0,0,0,0,0,5,0,5,0,Non-New York City
Cayuga,Cayuga County Sheriff,2020,12,138,26,1,9,3,13,112,32,74,6,Non-New York City
Cayuga,Cayuga County State Police,2020,12,246,55,0,26,0,29,191,50,126,15,Non-New York City
Cayuga,County Total,2020,,1295,213,2,68,18,125,1082,167,853,62,Non-New York City
Cayuga,Moravia Vg PD,2020,12,9,0,0,0,0,0,9,4,4,1,Non-New York City
Cayuga,Weedsport Vg PD,2020,12,14,0,0,0,0,0,14,0,14,0,Non-New York City
Chautauqua,Carroll Town PD,2020,12,26,0,0,0,0,0,26,5,19,2,Non-New York City
Chautauqua,Chautauqua County Park PD,2020,12,3,0,0,0,0,0,3,0,3,0,Non-New York City
Chautauqua,Chautauqua County Sheriff,2020,12,409,50,0,21,0,29,359,111,234,14,Non-New York City
Chautauqua,Chautauqua County State Police,2020,12,158,32,0,13,2,17,126,30,92,4,Non-New York City
Chautauqua,County Total,2020,,2936,398,1,83,36,278,2538,542,1919,77,Non-New York City
Chautauqua,Dunkirk City PD,2020,12,281,28,0,0,3,25,253,57,190,6,Non-New York City
Chautauqua,Ellicott Town PD,2020,12,247,11,0,1,2,8,236,22,212,2,Non-New York City
Chautauqua,Fredonia Vg PD,2020,12,314,12,0,1,1,10,302,28,274,0,Non-New York City
Chautauqua,Jamestown City PD,2020,12,1108,254,1,36,28,189,854,239,572,43,Non-New York City
Chautauqua,Lakewood-Busti PD,2020,12,356,8,0,8,0,0,348,47,297,4,Non-New York City
Chautauqua,SUNY Police - Fredonia,2020,12,21,0,0,0,0,0,21,0,21,0,Non-New York City
Chautauqua,Westfield Vg PD,2020,12,13,3,0,3,0,0,10,3,5,2,Non-New York City
Chemung,Chemung County Park PD,2020,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Chemung,Chemung County Sheriff,2020,12,181,9,0,1,0,8,172,13,152,7,Non-New York City
Chemung,Chemung County State Police,2020,12,252,88,0,29,1,58,164,16,139,9,Non-New York City
Chemung,County Total,2020,,1503,172,2,32,28,110,1331,131,1133,67,Non-New York City
Chemung,Elmira City PD,2020,12,871,59,2,0,25,32,812,87,684,41,Non-New York City
Chemung,Elmira Heights Vg PD,2020,12,87,2,0,0,0,2,85,6,76,3,Non-New York City
Chemung,Horseheads Vg PD,2020,12,111,14,0,2,2,10,97,9,81,7,Non-New York City
Chenango,Chenango County Sheriff,2020,12,341,26,1,6,0,19,315,77,231,7,Non-New York City
Chenango,Chenango County State Police,2020,12,209,56,0,34,2,20,153,43,98,12,Non-New York City
Chenango,County Total,2020,,785,113,1,52,7,53,672,146,501,25,Non-New York City
Chenango,Greene Vg PD,2020,12,14,0,0,0,0,0,14,0,13,1,Non-New York City
Chenango,New Berlin Town PD,2020,12,5,0,0,0,0,0,5,1,4,0,Non-New York City
Chenango,Norwich City PD,2020,12,197,28,0,12,5,11,169,24,142,3,Non-New York City
Chenango,Oxford Vg PD,2020,12,3,0,0,0,0,0,3,0,2,1,Non-New York City
Chenango,Sherburne Vg PD,2020,12,16,3,0,0,0,3,13,1,11,1,Non-New York City
Clinton,Clinton County Park PD,2020,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Clinton,Clinton County Sheriff,2020,12,29,7,0,0,0,7,22,0,22,0,Non-New York City
Clinton,Clinton County State Police,2020,12,813,94,1,55,2,36,719,96,603,20,Non-New York City
Clinton,County Total,2020,,1140,129,1,59,3,66,1011,123,862,26,Non-New York City
Clinton,Plattsburgh City PD,2020,12,268,27,0,3,1,23,241,26,209,6,Non-New York City
Clinton,SUNY Police - Plattsburgh,2020,12,29,1,0,1,0,0,28,1,27,0,Non-New York City
Columbia,Chatham Vg PD,2020,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Columbia,Columbia County Park PD,2020,12,2,0,0,0,0,0,2,1,1,0,Non-New York City
Columbia,Columbia County Sheriff,2020,12,282,26,0,7,5,14,256,53,196,7,Non-New York City
Columbia,Columbia County State Police,2020,12,192,37,0,16,3,18,155,23,118,14,Non-New York City
Columbia,County Total,2020,,724,93,1,27,11,54,631,94,513,24,Non-New York City
Columbia,Greenport Town PD,2020,12,55,1,0,0,0,1,54,0,53,1,Non-New York City
Columbia,Hudson City PD,2020,12,192,29,1,4,3,21,163,17,144,2,Non-New York City
Cortland,Cortland City PD,2020,12,563,49,0,13,3,33,514,74,434,6,Non-New York City
Cortland,Cortland County Sheriff,2020,12,181,23,1,13,2,7,158,40,108,10,Non-New York City
Cortland,Cortland County State Police,2020,12,104,23,0,12,0,11,81,12,68,1,Non-New York City
Cortland,County Total,2020,,862,97,1,40,5,51,765,129,619,17,Non-New York City
Cortland,Homer Vg PD,2020,12,1,0,0,0,0,0,1,1,0,0,Non-New York City
Cortland,SUNY Police - Cortland,2020,12,13,2,0,2,0,0,11,2,9,0,Non-New York City
Delaware,Colchester Town PD,2020,12,11,1,0,0,0,1,10,3,5,2,Non-New York City
Delaware,County Total,2020,,464,68,1,29,1,37,396,96,280,20,Non-New York City
Delaware,Delaware County Sheriff,2020,12,192,30,1,12,0,17,162,52,104,6,Non-New York City
Delaware,Delaware County State Police,2020,12,163,28,0,15,1,12,135,28,99,8,Non-New York City
Delaware,Delhi Vg PD,2020,12,26,2,0,2,0,0,24,4,19,1,Non-New York City
Delaware,Hancock Vg PD,2020,12,12,1,0,0,0,1,11,2,7,2,Non-New York City
Delaware,NYC-DEPP - Beerston PCT,2020,12,2,0,0,0,0,0,2,0,2,0,Non-New York City
Delaware,Sidney Vg PD,2020,12,47,6,0,0,0,6,41,6,34,1,Non-New York City
Delaware,SUNY Police - Delhi,2020,12,11,0,0,0,0,0,11,1,10,0,Non-New York City
Dutchess,Beacon City PD,2020,12,145,16,0,1,2,13,129,26,98,5,Non-New York City
Dutchess,County Total,2020,,3733,578,9,93,88,388,3155,246,2760,149,Non-New York City
Dutchess,Dutchess County MTA,2020,12,15,2,0,0,0,2,13,0,12,1,Non-New York City
Dutchess,Dutchess County Park PD,2020,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Dutchess,Dutchess County Sheriff,2020,12,411,34,0,11,4,19,377,42,309,26,Non-New York City
Dutchess,Dutchess County State Police,2020,12,604,156,2,39,5,110,448,31,400,17,Non-New York City
Dutchess,East Fishkill Town PD,2020,12,149,12,0,4,2,6,137,1,126,10,Non-New York City
Dutchess,Fishkill Town PD,2020,12,389,7,0,0,1,6,382,11,366,5,Non-New York City
Dutchess,Fishkill Vg PD,2020,12,32,2,0,0,0,2,30,2,28,0,Non-New York City
Dutchess,Hyde Park Town PD,2020,12,72,15,0,2,2,11,57,4,47,6,Non-New York City
Dutchess,Millerton Vg PD,2020,12,6,0,0,0,0,0,6,2,3,1,Non-New York City
Dutchess,Pine Plains Town PD,2020,12,1,0,0,0,0,0,1,1,0,0,Non-New York City
Dutchess,Poughkeepsie City PD,2020,12,799,253,7,21,50,175,546,61,451,34,Non-New York City
Dutchess,Poughkeepsie Town PD,2020,12,965,68,0,15,20,33,897,54,802,41,Non-New York City
Dutchess,Red Hook Vg PD,2020,12,78,5,0,0,0,5,73,9,64,0,Non-New York City
Dutchess,Rhinebeck Vg PD,2020,12,19,1,0,0,0,1,18,1,17,0,Non-New York City
Dutchess,Wappingers Falls Vg PD,2020,12,47,7,0,0,2,5,40,1,36,3,Non-New York City
Erie,Akron Vg PD,2020,12,7,0,0,0,0,0,7,0,6,1,Non-New York City
Erie,Amherst Town PD,2020,12,2018,153,0,18,39,96,1865,171,1597,97,Non-New York City
Erie,Blasdell Vg PD,2020,11,36,4,0,0,1,3,32,8,21,3,Non-New York City
Erie,Brant Town PD,2020,12,15,0,0,0,0,0,15,1,12,2,Non-New York City
Erie,Buffalo City PD,2020,12,11169,2706,63,71,707,1865,8463,1568,5551,1344,Non-New York City
Erie,Cheektowaga Town PD,2020,12,2442,216,1,22,51,142,2226,273,1782,171,Non-New York City
Erie,County Total,2020,,21714,3689,69,192,907,2521,18025,2681,13386,1958,Non-New York City
Erie,Depew Vg PD,2020,12,251,23,0,6,2,15,228,31,190,7,Non-New York City
Erie,East Aurora-Town Of Aurora PD,2020,12,79,3,0,0,2,1,76,7,66,3,Non-New York City
Erie,Eden Town PD,2020,12,23,1,0,1,0,0,22,4,17,1,Non-New York City
Erie,Erie County Park PD,2020,12,4,0,0,0,0,0,4,0,4,0,Non-New York City
Erie,Erie County Sheriff,2020,12,622,52,2,0,6,44,570,57,488,25,Non-New York City
Erie,Erie County State Police,2020,12,325,38,0,16,0,22,287,21,241,25,Non-New York City
Erie,Evans Town PD,2020,12,177,23,0,8,1,14,154,18,124,12,Non-New York City
Erie,Gowanda Vg PD,2020,12,39,4,0,0,1,3,35,7,24,4,Non-New York City
Erie,Hamburg Town PD,2020,12,725,51,0,0,16,35,674,83,570,21,Non-New York City
Erie,Hamburg Vg PD,2020,12,77,6,0,0,1,5,71,14,56,1,Non-New York City
Erie,Kenmore Vg PD,2020,12,279,37,0,0,9,28,242,27,201,14,Non-New York City
Erie,Lackawanna City PD,2020,12,447,100,0,9,9,82,347,69,241,37,Non-New York City
Erie,Lancaster Town PD,2020,12,359,12,0,2,1,9,347,33,298,16,Non-New York City
Erie,Niagara Frontier Transportation Authority PD,2020,12,98,31,0,0,15,16,67,1,39,27,Non-New York City
Erie,Orchard Park Town PD,2020,12,285,8,0,0,3,5,277,35,233,9,Non-New York City
Erie,SUNY Police - Buffalo,2020,12,98,6,0,2,1,3,92,12,79,1,Non-New York City
Erie,SUNY Police - Buffalo State College,2020,12,44,6,0,4,0,2,38,5,30,3,Non-New York City
Erie,Tonawanda City PD,2020,12,332,46,1,13,7,25,286,21,254,11,Non-New York City
Erie,Tonawanda Town PD,2020,12,1115,104,2,9,27,66,1011,140,780,91,Non-New York City
Erie,West Seneca Town PD,2020,12,648,59,0,11,8,40,589,75,482,32,Non-New York City
Essex,County Total,2020,,312,60,0,33,5,22,252,49,193,10,Non-New York City
Essex,Essex County Sheriff,2020,12,2,1,0,0,0,1,1,0,1,0,Non-New York City
Essex,Essex County State Police,2020,12,250,44,0,27,4,13,206,43,153,10,Non-New York City
Essex,Lake Placid Vg PD,2020,12,23,7,0,2,0,5,16,4,12,0,Non-New York City
Essex,Ticonderoga Town PD,2020,12,37,8,0,4,1,3,29,2,27,0,Non-New York City
Franklin,County Total,2020,,652,79,0,32,7,40,573,115,430,28,Non-New York City
Franklin,Franklin County State Police,2020,12,363,42,0,25,3,14,321,76,226,19,Non-New York City
Franklin,Malone Vg PD,2020,12,220,31,0,4,4,23,189,33,151,5,Non-New York City
Franklin,Saranac Lake Vg PD,2020,12,22,4,0,1,0,3,18,1,15,2,Non-New York City
Franklin,Tupper Lake Vg PD,2020,12,47,2,0,2,0,0,45,5,38,2,Non-New York City
Fulton,County Total,2020,,958,113,1,31,11,70,845,140,669,36,Non-New York City
Fulton,Fulton County Sheriff,2020,12,256,13,0,2,0,11,243,47,181,15,Non-New York City
Fulton,Fulton County State Police,2020,12,81,11,0,11,0,0,70,24,44,2,Non-New York City
Fulton,Gloversville City PD,2020,12,479,79,1,14,10,54,400,57,330,13,Non-New York City
Fulton,Johnstown City PD,2020,12,138,10,0,4,1,5,128,11,111,6,Non-New York City
Fulton,Northville Vg PD,2020,12,4,0,0,0,0,0,4,1,3,0,Non-New York City
Genesee,Batavia City PD,2020,12,411,65,0,13,13,39,346,46,286,14,Non-New York City
Genesee,County Total,2020,,827,103,0,34,15,54,724,101,578,45,Non-New York City
Genesee,Genesee County Sheriff,2020,12,266,27,0,13,1,13,239,37,180,22,Non-New York City
Genesee,Genesee County State Police,2020,12,99,8,0,6,1,1,91,12,70,9,Non-New York City
Genesee,LeRoy Vg PD,2020,12,51,3,0,2,0,1,48,6,42,0,Non-New York City
Greene,Cairo Town PD,2020,12,42,3,0,0,0,3,39,5,33,1,Non-New York City
Greene,Catskill Vg PD,2020,12,77,6,0,1,0,5,71,5,66,0,Non-New York City
Greene,County Total,2020,,550,192,0,25,2,165,358,58,288,12,Non-New York City
Greene,Coxsackie Vg PD,2020,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Greene,Durham Town PD,2020,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Greene,Greene County Sheriff,2020,12,35,11,0,2,1,8,24,5,18,1,Non-New York City
Greene,Greene County State Police,2020,12,369,172,0,22,1,149,197,41,148,8,Non-New York City
Greene,Hunter Town PD,2020,12,20,0,0,0,0,0,20,2,16,2,Non-New York City
Greene,Windham Town PD,2020,12,5,0,0,0,0,0,5,0,5,0,Non-New York City
Hamilton,County Total,2020,,46,7,0,4,0,3,39,7,29,3,Non-New York City
Hamilton,Hamilton County Sheriff,2020,12,10,0,0,0,0,0,10,0,10,0,Non-New York City
Hamilton,Hamilton County State Police,2020,12,31,6,0,4,0,2,25,5,17,3,Non-New York City
Hamilton,Inlet Town PD,2020,12,5,1,0,0,0,1,4,2,2,0,Non-New York City
Herkimer,County Total,2020,,900,106,1,40,7,58,794,127,644,23,Non-New York City
Herkimer,Dolgeville Vg PD,2020,12,22,1,0,1,0,0,21,0,20,1,Non-New York City
Herkimer,Frankfort Town PD,2020,12,25,4,0,0,0,4,21,1,19,1,Non-New York City
Herkimer,Frankfort Vg PD,2020,12,11,3,0,2,0,1,8,2,5,1,Non-New York City
Herkimer,Herkimer County State Police,2020,12,216,44,0,27,1,16,172,52,111,9,Non-New York City
Herkimer,Herkimer Vg PD,2020,12,299,10,0,2,4,4,289,28,259,2,Non-New York City
Herkimer,Ilion Vg PD,2020,12,223,28,0,6,1,21,195,23,166,6,Non-New York City
Herkimer,Little Falls City PD,2020,12,76,14,1,2,0,11,62,17,42,3,Non-New York City
Herkimer,Mohawk Vg PD,2020,12,27,2,0,0,1,1,25,4,21,0,Non-New York City
Herkimer,Webb Town PD,2020,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Jefferson,Adams Vg PD,2020,12,3,0,0,0,0,0,3,1,1,1,Non-New York City
Jefferson,Alexandria Bay Vg PD,2020,12,3,0,0,0,0,0,3,1,2,0,Non-New York City
Jefferson,Black River Vg PD,2020,12,3,0,0,0,0,0,3,0,3,0,Non-New York City
Jefferson,Brownville Vg PD,2020,12,2,0,0,0,0,0,2,1,1,0,Non-New York City
Jefferson,Cape Vincent Vg PD,2020,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Jefferson,Carthage Vg PD,2020,12,58,4,0,2,0,2,54,9,44,1,Non-New York City
Jefferson,Clayton Vg PD,2020,12,3,0,0,0,0,0,3,0,3,0,Non-New York City
Jefferson,County Total,2020,,2055,278,3,74,22,179,1777,257,1452,68,Non-New York City
Jefferson,Dexter Vg PD,2020,12,2,0,0,0,0,0,2,0,2,0,Non-New York City
Jefferson,Glen Park Vg PD,2020,12,1,0,0,0,0,0,1,0,1,0,Non-New York City
Jefferson,Jefferson County Park PD,2020,12,13,0,0,0,0,0,13,1,10,2,Non-New York City
Jefferson,Jefferson County Sheriff,2020,12,221,17,3,4,0,10,204,14,182,8,Non-New York City
Jefferson,Jefferson County State Police,2020,12,585,75,0,28,1,46,510,71,427,12,Non-New York City
Jefferson,Watertown City PD,2020,12,1148,181,0,40,21,120,967,158,766,43,Non-New York City
Jefferson,West Carthage Vg PD,2020,12,12,1,0,0,0,1,11,1,9,1,Non-New York City
Kings,County Total,2020,12,50938,14590,175,701,3816,9898,36348,4099,29306,2943,New York City
Lewis,County Total,2020,,149,24,0,14,0,10,125,44,73,8,Non-New York City
Lewis,Lewis County Sheriff,2020,12,47,5,0,2,0,3,42,17,23,2,Non-New York City
Lewis,Lewis County State Police,2020,12,91,16,0,11,0,5,75,25,44,6,Non-New York City
Lewis,Lowville Vg PD,2020,12,11,3,0,1,0,2,8,2,6,0,Non-New York City
Livingston,Caledonia Vg PD,2020,12,2,0,0,0,0,0,2,0,2,0,Non-New York City
Livingston,County Total,2020,,566,51,0,28,5,18,515,71,430,14,Non-New York City
Livingston,Dansville Vg PD,2020,12,55,2,0,0,2,0,53,7,45,1,Non-New York City
Livingston,Geneseo Vg PD,2020,12,76,1,0,0,0,1,75,4,69,2,Non-New York City
Livingston,Livingston County Park PD,2020,12,3,0,0,0,0,0,3,0,3,0,Non-New York City
Livingston,Livingston County Sheriff,2020,12,298,27,0,12,3,12,271,41,224,6,Non-New York City
Livingston,Livingston County State Police,2020,12,48,16,0,15,0,1,32,6,25,1,Non-New York City
Livingston,Mount Morris Vg PD,2020,12,56,5,0,1,0,4,51,12,35,4,Non-New York City
Livingston,SUNY Police - Geneseo,2020,12,28,0,0,0,0,0,28,1,27,0,Non-New York City
Madison,Canastota Vg PD,2020,12,41,6,0,0,1,5,35,1,27,7,Non-New York City
Madison,Cazenovia Vg PD,2020,12,22,2,0,0,0,2,20,6,14,0,Non-New York City
Madison,Chittenango Vg PD,2020,12,23,3,0,0,0,3,20,2,17,1,Non-New York City
Madison,County Total,2020,,953,134,2,41,10,81,819,121,667,31,Non-New York City
Madison,Hamilton Vg PD,2020,12,5,0,0,0,0,0,5,1,4,0,Non-New York City
Madison,Madison County Sheriff,2020,12,119,20,1,4,3,12,99,21,70,8,Non-New York City
Madison,Madison County State Police,2020,12,165,32,0,23,1,8,133,24,102,7,Non-New York City
Madison,Oneida City PD,2020,12,548,68,1,14,4,49,480,55,417,8,Non-New York City
Madison,SUNY Police - Morrisville,2020,12,30,3,0,0,1,2,27,11,16,0,Non-New York City
Monroe,Brighton Town PD,2020,12,751,38,0,10,5,23,713,72,608,33,Non-New York City
Monroe,Brockport Vg PD,2020,12,62,11,0,3,2,6,51,11,38,2,Non-New York City
Monroe,County Total,2020,,16088,2281,50,228,545,1458,13807,2273,10144,1390,Non-New York City
Monroe,East Rochester Vg PD,2020,12,79,8,0,2,4,2,71,14,51,6,Non-New York City
Monroe,Fairport Vg PD,2020,12,31,2,0,0,0,2,29,2,24,3,Non-New York City
Monroe,Gates Town PD,2020,12,795,65,0,7,20,38,730,67,609,54,Non-New York City
Monroe,Greece Town PD,2020,12,1946,158,2,23,34,99,1788,226,1440,122,Non-New York City
Monroe,Irondequoit Town PD,2020,12,880,48,0,6,19,23,832,169,585,78,Non-New York City
Monroe,Monroe County Park PD,2020,12,2,0,0,0,0,0,2,0,2,0,Non-New York City
Monroe,Monroe County Sheriff,2020,12,2262,169,0,41,32,96,2093,262,1694,137,Non-New York City
Monroe,Monroe County State Police,2020,12,94,45,0,37,1,7,49,1,37,11,Non-New York City
Monroe,Ogden Town PD,2020,12,168,11,0,3,3,5,157,13,139,5,Non-New York City
Monroe,Rochester City PD,2020,12,8595,1696,48,93,418,1137,6899,1393,4586,920,Non-New York City
Monroe,SUNY Police - Brockport,2020,12,19,0,0,0,0,0,19,1,18,0,Non-New York City
Monroe,Webster Town and Vg PD,2020,12,404,30,0,3,7,20,374,42,313,19,Non-New York City
Montgomery,Amsterdam City PD,2020,12,319,37,0,4,9,24,282,53,214,15,Non-New York City
Montgomery,Canajoharie Vg PD,2020,12,20,3,0,1,0,2,17,5,11,1,Non-New York City
Montgomery,County Total,2020,,766,69,1,11,11,46,697,90,576,31,Non-New York City
Montgomery,Fort Plain Vg PD,2020,12,61,8,0,0,2,6,53,6,45,2,Non-New York City
Montgomery,Montgomery County Sheriff,2020,12,244,6,0,0,0,6,238,14,218,6,Non-New York City
Montgomery,Montgomery County State Police,2020,12,106,14,1,6,0,7,92,10,75,7,Non-New York City
Montgomery,St Johnsville Vg PD,2020,12,16,1,0,0,0,1,15,2,13,0,Non-New York City
Nassau,Centre Island Vg PD,2020,12,1,0,0,0,0,0,1,1,0,0,Non-New York City
Nassau,County Total,2020,,12244,1826,23,54,523,1226,10418,975,8741,702,Non-New York City
Nassau,Floral Park Vg PD,2020,12,71,10,0,0,3,7,61,9,41,11,Non-New York City
Nassau,Freeport Vg PD,2020,11,336,73,1,1,33,38,263,18,223,22,Non-New York City
Nassau,Garden City Vg PD,2020,12,248,5,0,0,0,5,243,8,221,14,Non-New York City
Nassau,Glen Cove City PD,2020,12,110,3,0,0,1,2,107,13,89,5,Non-New York City
Nassau,Great Neck Estates Vg PD,2020,12,9,1,0,0,0,1,8,3,2,3,Non-New York City
Nassau,Hempstead Vg PD,2020,12,925,357,8,3,105,241,568,105,357,106,Non-New York City
Nassau,Kings Point Vg PD,2020,12,12,0,0,0,0,0,12,0,3,9,Non-New York City
Nassau,Lake Success Vg PD,2020,12,14,0,0,0,0,0,14,5,5,4,Non-New York City
Nassau,Long Beach City PD,2020,12,61,13,0,0,6,7,48,4,41,3,Non-New York City
Nassau,Lynbrook Vg PD,2020,12,132,15,0,0,5,10,117,10,96,11,Non-New York City
Nassau,Malverne Vg PD,2020,12,16,0,0,0,0,0,16,2,13,1,Non-New York City
Nassau,Nassau County MTA,2020,12,32,7,0,0,4,3,25,1,23,1,Non-New York City
Nassau,Nassau County Park PD,2020,12,31,2,0,1,0,1,29,0,29,0,Non-New York City
Nassau,Nassau County PD,2020,12,9876,1304,14,45,358,887,8572,752,7365,455,Non-New York City
Nassau,Nassau County State Police,2020,12,19,9,0,1,2,6,10,0,6,4,Non-New York City
Nassau,Old Brookville Vg PD,2020,12,48,1,0,0,0,1,47,6,23,18,Non-New York City
Nassau,Old Westbury Vg PD,2020,12,21,1,0,0,0,1,20,3,11,6,Non-New York City
Nassau,Oyster Bay Cove Vg PD,2020,12,17,0,0,0,0,0,17,3,9,5,Non-New York City
Nassau,Port Washington Police District,2020,12,123,8,0,1,2,5,115,11,102,2,Non-New York City
